Name ,Health Score,Original Nation,Protein(g),Fat(g),carbohydrates(g),Carlore(kj),Sodium(mg),Category,
apple_pie,0.4,Western_Country,1.2,6.8,17,535,132,0,
baby_back_ribs,0.4,,46,40,10,2426,1220,1,
baklava,0.1,Middle east,2.5,10,30,680,137.5,0,
beef_carpaccio,0.9,Italy,46,14,0,1335,115,1,
beef_tartare,0.7,France,8.9,7.28,0,440,60,0,
beet_salad,0.7,Italy,0.8,1.5,5.5,167,0,0,
beignets,0.6,France,6,16,42,1338,540,1,
bibimbap,0.5,Korea,15,13,100,1700,800,1,
bread_pudding,0.4,England,3,5.5,11,879,52.5,0,
breakfast_burrito,0.4,Mexico,22.6,19.8,45,1700,915.5,1,
bruschetta,0.4,Italy,0,4.85,3.25,240,137.1,0,
caesar_salad,0.8,Italy,3.2,3.8,3.5,255,210.3,0,
cannoli,0.3,Italy,16,10,88,2100,130,1,
caprese_salad,0.7,Italy,1.9,5,1.9,208,88,0,
carrot_cake,0.7,France,2.5,4.9,40,900,284,0,
ceviche,0.8,Spain,44,6,4,1200,700,1,
cheesecake,0.3,Greece,4,15,37,1234.5,153,0,
cheese_plate,0.3,Italy,9.9,8.6,0.7,490,790,0,
chicken_curry,0.6,Soutn Asia,2.9,1.6,8.7,270,133,0,
chicken_quesadilla,0.6,Mexico,12,16,18,1088,500,1,
chicken_wings,0.7,United States,10.2,8.7,0,462.5,41.85,0,
chocolate_cake,0.4,Netherlands,3,7.8,36.5,895,412.5,0,
chocolate_mousse,0.4,France,2.1,8,8,469,19,0, 
churros,0.3,Spain,5,16.5,23,1125,270,0,
clam_chowder,0.6,England,15,21,52,1183,3210,0,
club_sandwich,0.3,United States,10.1,2.4,24.2,646,392.7,1,
crab_cakes,0.1,United States,7.2,17.8,25,1209,0,0,
creme_brulee,0.2,France,3.6,18.2,17.3,1067,45,0,
croque_madame,0.1,France,40.2,54.3,27.5,3197,2010.6,1,
cup_cakes,0.3,United States,4,21.6,51.2,1741,232,0,
deviled_eggs,0.6,Italy,9.6,16,3.2,937,224.5,0,
donuts,0.3,United States,3,17,44,1423,340,0,
dumplings,0.3,China,14.3,11.9,47.6,1498,904,1,
edamame,1,Japan,6.5,2.9,4.1,272,0,0,
eggs_benedict,0.1,United States,25,27,20,2500,1000,1,
escargots,0.9,France,10,1,1,209,150,0,
falafel,0.5,United States,10.9,21.8,32.7,1519,727,1,
filet_mignon,0.6,France,20,20,0.1,1117,127.1,1,
fish_and_chips,0.4,England,7.9,13.9,26.8,1125,509.2,1,
foie_gras,0.2,France,11.4,43.8,4.7,1933,697,0,
french_fries,0.2,England,6,18,70,1908,942,0,
french_onion_soup,0.5,France,8,20,17,1172,880,0,
french_toast,0.4,France,7.7,10.8,25,958,479,0,
fried_calamari,0.7,Japan,10,2,9,364,243,0,
fried_rice,0.4,China,4.1,3,32.8,728,387,1,
frozen_yogurt,0.4,Middle east,2,2,20,418,65,0,
garlic_bread,0.2,France,8.8,8.8,49.1,1247,350.9,0,
gnocchi,0.1,Italy,3.8,0.3,33.6,636,400,1,
greek_salad,0.7,Greece,0,56.7,3.3,2092,800,0,
grilled_cheese_sandwich,0.1,England,13.2,27.3,23.1,1619,543.3,1,
Grilled Salmon,0.8,Norway,22,11,0,854,295,1,
guacamole,0.8,Mexico,3.1,14.1,9.4,653,750,0,
gyoza,0.2,Japan,12.7,17.6,48.7,1683,835,1,
hamburger,0.3,America,17,14,24,1231,414,1,
hot_and_sour_soup,0.6,China,2.6,1.2,4.4,159,376,0,
hot_dog,0.2,Germany,10,26,4.2,1210,1090,1,
huevos_rancheros,0.5,Mexico,7.6,12.1,7,687,426.5,1,
hummus,0.7,Egypt,8,10,14,695,379,1,
ice_cream,0.4,France,3.5,11,24,867,80,0,
lasagna,0.6,Italy,7,4.9,15,561,373,1,
lobster_bisque,0.4,France,3.1,13.7,7.1,682,339.2,1,
lobster_roll_sandwich,0.6,America,12.3,14.4,13.2,977,386.7,1,
macaroni_and_cheese,0.5,Italy,3.7,4.4,16.2,523,609.9,1,
macarons,0.1,France,6,20.3,51.9,1740,340,0,
miso_soup,0.6,Japan,0.9,0.5,1.6,62,277,0,
mussels,0.8,Europe,18.8,3.1,4.1,503,553,1,
nachos,0.2,Mexico,8,17,32,1277,722,1,
omelette,0.7,France,11,12,0.6,641,155,1,
onion_rings,0.2,America,3.9,25,44,1717,776,0,
oysters,0.8,France,12,2.4,0.6,303,310,1,
pad_thai,0.4,Thailand,9.7,11.3,16.4,873,610,1,
paella,0.6,Spain,4.9,5,17,565,300,1,
pancakes,0.4,Britain,6,10,28,950,439,0,
panna_cotta,0.3,Italy,2,17.3,25.3,1117,40,0,
peking_duck,0.6,China,15.9,14.9,6.1,925,380,1,
pho,0.7,Vietnam,5,2,18,465,193,1,
pizza,0.3,Italy,11,10,33,1114,598,1,
pork_chop,0.8,America,24,14,0,963,74,1,
poutine,0.3,Canada,5.8,12.4,22.1,939,757.6,1,
prime_rib,0.7,America,17.7,22.1,0,916,57.5,1,
pulled_pork_sandwich,0.4,America,13,4.4,19,699,666,1,
ramen,0.1,Japan,10,16,63,1825,2036,1,
ravioli,0.6,Italy,2.5,1.5,14,322,306,1,
red_velvet_cake,0.1,America,3.1,21.9,56.3,1766,312.5,0,
risotto,0.2,Italy,9.6,9.6,57,1432,96.5,1,
samosa,0.3,India,9,17,45,1394,813,1,
sashimi,0.9,Japan,22.6,5.4,0,610,38.9,1,
scallops,0.8,Japan,21,0.8,5,465,667,1,
seaweed_salad,0.5,Japan,2.7,4,20.4,481,778.8,0,
shrimp_and_grits,0.1,America,21.2,20.4,22,1524,1919.2,1,
spaghetti_bolognese,0.6,Italy,3.5,2,16.1,410,254.9,1,
spaghetti_carbonara,0.6,Italy,7.8,8.4,15.3,709,0.2,1,
spring_rolls,0.8,Vietnam,16,8,4.3,641,452,0,
steak,0.7,America,25,19,0,1130,58,1,
strawberry_shortcake,0.3,Britain,6,14,49,1449,506,0,
sushi,0.6,Japan,5,2,25,628,0,1,
tacos,0.5,Mexico,9,13,20,946,397,1,
takoyaki,0.6,Japan,17,6,11,724,710,0,
tiramisu,0.1,Italy,7,32,48,2135,75,0,
tuna_tartare,0.7,Japan,13,15,3,800,640,1,
waffles,0.3,Belgium,8,14,33,1218,511,0,
